source,svspp,comname,scientific_name,spec_class,hare_group,fishery,season,catchsex,b,a,ln_a,units,related_species,related_a,related_b,related_ln_a,wigleymin,wigleymax,wigleyvalue
fishbase,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,NA,NA,3.08,0.01,-4.605170185988091,NA,NA,NA,NA,NA,NA,NA,NA
wigley,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,SPRING,0,3.2036,8.289673287731616e-6,-11.7005,NA,NA,NA,NA,NA,3,47,t
wigley,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,SPRING,1,3.1151,1.0755428006371726e-5,-11.4401,NA,NA,NA,NA,NA,6,44,t
wigley,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,SPRING,2,3.2297,7.72305922310378e-6,-11.7713,NA,NA,NA,NA,NA,7,47,t
wigley,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,FALL,0,3.2036,8.289673287731616e-6,-11.7005,NA,NA,NA,NA,NA,3,47,t
wigley,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,FALL,1,3.1151,1.0755428006371726e-5,-11.4401,NA,NA,NA,NA,NA,6,44,t
wigley,155,acadian redfish,sebastes fasciatus,dem,groundfish,nc,FALL,2,3.2297,7.72305922310378e-6,-11.7713,NA,NA,NA,NA,NA,7,47,t
fishbase,NA,african pompano,NA,NA,reef,NA,NA,NA,2.85,0.02188,-3.8221823014283567,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,NA,albacore,NA,NA,pelagic,NA,NA,NA,2.98,0.01778,-4.029681048896379,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,033,alewife,alosa pseudoharengus,pel,diadromous,com,NA,NA,3,0.00741,-4.904924839674141,NA,NA,NA,NA,NA,NA,NA,NA
wigley,033,alewife,alosa pseudoharengus,pel,diadromous,com,SPRING,0,3.6716,1.534202278934922e-6,-13.3875,NA,NA,NA,NA,NA,10,27,t
wigley,033,alewife,alosa pseudoharengus,pel,diadromous,com,FALL,0,3.6716,1.534202278934922e-6,-13.3875,NA,NA,NA,NA,NA,10,27,t
fishbase,165,alligatorfish,aspidophoroides monopterygius,dem,groundfish,nc,NA,NA,3.07,0.00339,-5.686925357589778,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,NA,almaco jack,NA,NA,reef,NA,NA,NA,2.97,0.0195,-3.937340813412436,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,384,american eel,anguilla rostrata,dem,diadromous,com,NA,NA,3.18,8.9e-4,-7.024289095238089,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,102,american plaice,hippoglossoides platessoides,gf,groundfish,com,NA,NA,3.1,0.0055,-5.2030071867437115,NA,NA,NA,NA,NA,NA,NA,NA
wigley,102,american plaice,hippoglossoides platessoides,gf,groundfish,com,SPRING,0,3.3125,2.728659759225391e-6,-12.8117,NA,NA,NA,NA,NA,5,62,t
wigley,102,american plaice,hippoglossoides platessoides,gf,groundfish,com,SPRING,1,3.279,3.000294822374252e-6,-12.7168,NA,NA,NA,NA,NA,6,48,t
wigley,102,american plaice,hippoglossoides platessoides,gf,groundfish,com,SPRING,2,3.3641,2.303455894318265e-6,-12.9811,NA,NA,NA,NA,NA,7,62,t
wigley,102,american plaice,hippoglossoides platessoides,gf,groundfish,com,FALL,0,3.3062,2.904643193967569e-6,-12.7492,NA,NA,NA,NA,NA,3,65,t
fishbase,734,american sand lance,ammodytes americanus,dem,groundfish,nc,NA,NA,3.13,0.00219,-6.123853735153728,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,035,american shad,alosa sapidissima,pel,diadromous,com,NA,NA,2.99,0.00661,-5.019171625118542,NA,NA,NA,NA,NA,NA,NA,NA
wigley,035,american shad,alosa sapidissima,pel,diadromous,com,SPRING,0,3.2207,5.353821248269188e-6,-12.1377,NA,NA,NA,NA,NA,8,53,t
wigley,035,american shad,alosa sapidissima,pel,diadromous,com,FALL,0,3.2207,5.353821248269188e-6,-12.1377,NA,NA,NA,NA,NA,8,53,t
fishbase,NA,anchovy uncl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,NA,anglefin whiff,NA,NA,groundfish,NA,NA,NA,3.14,0.00724,-4.928134072584512,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,NA,arctic eelpout,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,NA,arctic eualid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,173,armored searobin,peristedion miniatum,dem,groundfish,nc,NA,NA,3.14,0.0055,-5.2030071867437115,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,016,atlantic angel shark,squatina dumeril,NA,elasmobranch,NA,NA,NA,3.04,0.00741,-4.904924839674141,NA,NA,NA,NA,NA,NA,NA,NA
wigley,016,atlantic angel shark,squatina dumeril,NA,elasmobranch,NA,SPRING,0,2.9556,9.851370257686835e-6,-11.5279,NA,NA,NA,NA,NA,32,84,t
wigley,016,atlantic angel shark,squatina dumeril,NA,elasmobranch,NA,FALL,0,3.142,5.140809503213611e-6,-12.1783,NA,NA,NA,NA,NA,35,120,t
fishbase,046,atlantic argentine,argentina silus,pel,NA,nc,NA,NA,3.2,3.55e-4,-7.943392768488859,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,199,atlantic batfish,dibranchus atlanticus,dem,groundfish,nc,NA,NA,3.04,0.01,-4.605170185988091,NA,NA,NA,NA,NA,NA,NA,NA
fishbase,123,atlantic bonito,sarda sarda,pel,pelagic,nc,NA,NA,3.05,0.00813,-4.812194355422418,NA,NA,NA,NA,NA,NA,NA,NA
