SVSPP,Common Name,Scientific Name,GF,DEM,EL,PEL,INV,COM,NC
000,UNCLASSIFIED FISH,UNIDENTIFIED FISH,,,,,,,
001,Atlantic hagfish,Myxine glutinosa,,X,,,,,X
002,Sea lamprey,Petromyzon marinus,,,,X,,,X
003,DUSKY SHARK,CARCHARHINUS OBSCURUS,,,,,,,
004,ROUGHTAIL STINGRAY,DASYATIS CENTROURA,,,,,,,
005,RAY AND SKATE UNCL,RAJIFORMES,,,,,,,
006,BASKING SHARK,CETORHINUS MAXIMUS,,,,,,,
007,BLACK DOGFISH,CENTROSCYLLIUM FABRICII,,,,,,,
008,ROUGH SAGRE,ETMOPTERUS PRINCEPS,,,,,,,
009,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,,,,,,,
010,,,,,,,,,
011,SHARK UNCL,SELACHIMORPHA,,,,,,,
012,SAND TIGER,CARCHARIAS TAURUS,,,,,,,
013,Smooth dogfish,Mustelus canis,,,X,,,X,
014,Chain dogfish,Scyliorhinus retifer,,,X,,,,X
015,Spiny dogfish,Squalus acanthias,,,X,,,X,
016,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL,,,,,,,
018,BLUNTNOSE STINGRAY,DASYATIS SAY,,,,,,,
019,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,,,,,,,
020,Skate (unclassified),Raja sp.,,,X,,,,X
021,Atlantic torpedo,Torpedo nobiliana,,,X,,,,X
022,Barndoor skate,Dipturus laevis,,,X,,,X,
023,Winter skate,Leucoraja ocellata,,,X,,,X,
024,Clearnose skate,Raja eglanteria,,,X,,,X,
025,Rosette skate,Leucoraja garmani,,,X,,,X,
026,Little skate,Leucoraja erinacea,,,X,,,X,
027,Smooth skate,Malacoraja senta,,,X,,,X,
028,Thorny skate,Amblyraja radiata,,,X,,,X,
029,SOUTHERN STINGRAY,DASYATIS AMERICANA,,,,,,,
030,Herring (unclassified),Clupeidae,,,,X,,,X
031,Round herring,Etrumeus teres,,,,X,,,X
032,Atlantic herring,Clupea harengus,,,,X,,X,
033,Alewife,Alosa pseudoharengus,,,,X,,X,
034,Blueback herring,Alosa aestivalis,,,,X,,X,
035,American shad,Alosa sapidissima,,,,X,,X,
036,Atlantic menhaden,Brevoortia tyrannus,,,,X,,X,
037,Hickory shad,Alosa mediocris,,,,X,,X,
038,Capelin,Mallotus villosus,,,,X,,,X
039,SLICKHEAD UNCL,ALEPOCEPHALIIDAE,,,,,,,
043,Bay anchovy,Anchoa mitchilli,,,,X,,,X
044,Striped anchovy,Anchoa hepsetus,,,,X,,,X
045,Rainbow smelt,Osmerus mordax,,,,X,,,X
046,Atlantic argentine,Argentina silus,,,,X,,,X
047,Greeneye (unclassified),Chlorophthalmidae,,X,,,,,X
051,GLACIER LANTERNFISH,BENTHOSEMA GLACIALE,,,,,,,
053,Humboldt's lanternfish,Myctophum humboldti,,,,X,,,X
054,Horned lanternfish,Ceratoscopelus maderensis,,,,X,,,X
055,SPOTTED LANTERNFISH,MYCTOPHUM PUNCTATUM,,,,,,,
056,Lanternfish (unclassified),Myctophidae,,,,X,,,X
057,0,HYGOPHUM TAANINGI,,,,,,,
060,Eel (unclassified),Anguilliformes,,X,,,,,X
061,HEADLIGHTFISH UNCL,DIAPHUS SP,,,,,,,
063,Conger eel,Conger oceanicus,,X,,,,,X
064,Snubnose eel,Simenchelys parasiticus,,X,,,,,X
065,Margined snake eel,Ophichthus cruentifer,,X,,,,,X
066,Silverstripe halfbeak,Hyporhamphus unifasciatus,,,,X,,,X
067,Slender snipe eel,Nemichthys scolopaceus,,,,X,,,X
068,FLAT NEEDLEFISH,ABLENNES HIANS,,,,,,,
069,Offshore hake,Merluccius albidus,X,,,,,X,
070,BEARDLESS CODLING,GADELLA IMBERBIS,,,,,,,
071,,,,,,,,,
072,Silver hake,Merluccius bilinearis,X,,,,,X,
073,Atlantic cod,Gadus morhua,X,,,,,X,
074,Haddock,Melanogrammus aeglefinus,X,,,,,X,
075,Pollock,Pollachius virens,X,,,,,X,
076,White hake,Urophycis tenuis,X,,,,,X,
077,Red hake,Urophycis chuss,X,,,,,X,
078,Spotted hake,Urophycis regia,X,,,,,,X
079,Longfin hake,Urophycis chesteri,X,,,,,,X
080,Hake (unclassified),Gadidae,X,,,,,,X
081,BLUE HAKE,ANTIMORA ROSTRATA,,,,,,,
082,METALLIC CODLING,PHYSICULUS FULVUS,,,,,,,
083,Fourbeard rockling,Enchelyopus cimbrius,X,,,,,,X
084,Cusk,Brosme brosme,X,,,,,,X
085,THREEBEARD ROCKLING,GAIDROPSARUS ENSIS,,,,,,,
086,Whiting (unclassified),Merluccius sp.,X,,,,,,X
087,Ling (unclassified),Urophycis sp.,X,,,,,,X
088,Mora (unclassified),Moridae,X,,,,,,X
090,Grenadier (unclassified),Macrouridae,X,,,,,,X
091,Marlin-spike,Nezumia bairdi,X,,,,,,X
092,Roughhead grenadier,Macrourus berglax,X,,,,,,X
093,Longnose grenadier,Coelorhynchus carminatus,X,,,,,,X
098,DEEPWATER DAB,POECILOPSETTA BEANI,,,,,,,
099,Greenland halibut,Reinhardtius hippoglossoides,X,,,,,,X
100,Flounder (unclassified),Pleuronectiformes,X,,,,,,X
101,Atlantic halibut,Hippoglossus hippoglossus,X,,,,,X,
102,American plaice,Hippoglossoides platessoides,X,,,,,X,
103,Summer flounder,Paralichthys dentatus,X,,,,,X,
104,Fourspot flounder,Paralichthys oblongus,X,,,,,,X
105,Yellowtail flounder,Limanda ferruginea,X,,,,,X,
106,Winter flounder,Pseudopleuronectes americanus,X,,,,,X,
107,Witch flounder,Glyptocephalus cynoglossus,X,,,,,X,
108,Windowpane flounder,Scophthalmus aquosus,X,,,,,X,
109,Gulf stream flounder,Citharichthys arctifrons,X,,,,,,X
110,Deepwater flounder,Monolene sessilicauda,X,,,,,,X
111,Longnose snipefish,Macrorhamphosus scolopax,,X,,,,,X
