SVSPP,GF,DEM,EL,PEL,INV,COM,NC
000,0,0,0,0,0,0,0
001,0,1,0,0,0,0,1
002,0,0,0,1,0,0,1
003,0,0,0,0,0,0,0
004,0,0,0,0,0,0,0
005,0,0,0,0,0,0,0
006,0,0,0,0,0,0,0
007,0,0,0,0,0,0,0
008,0,0,0,0,0,0,0
009,0,0,0,0,0,0,0
010,0,0,0,0,0,0,0
011,0,0,0,0,0,0,0
012,0,0,0,0,0,0,0
013,0,0,1,0,0,1,0
014,0,0,1,0,0,0,1
015,0,0,1,0,0,1,0
016,0,0,0,0,0,0,0
018,0,0,0,0,0,0,0
019,0,0,0,0,0,0,0
020,0,0,1,0,0,0,1
021,0,0,1,0,0,0,1
022,0,0,1,0,0,1,0
023,0,0,1,0,0,1,0
024,0,0,1,0,0,1,0
025,0,0,1,0,0,1,0
026,0,0,1,0,0,1,0
027,0,0,1,0,0,1,0
028,0,0,1,0,0,1,0
029,0,0,0,0,0,0,0
030,0,0,0,1,0,0,1
031,0,0,0,1,0,0,1
032,0,0,0,1,0,1,0
033,0,0,0,1,0,1,0
034,0,0,0,1,0,1,0
035,0,0,0,1,0,1,0
036,0,0,0,1,0,1,0
037,0,0,0,1,0,1,0
038,0,0,0,1,0,0,1
039,0,0,0,0,0,0,0
043,0,0,0,1,0,0,1
044,0,0,0,1,0,0,1
045,0,0,0,1,0,0,1
046,0,0,0,1,0,0,1
047,0,1,0,0,0,0,1
051,0,0,0,0,0,0,0
053,0,0,0,1,0,0,1
054,0,0,0,1,0,0,1
055,0,0,0,0,0,0,0
056,0,0,0,1,0,0,1
057,0,0,0,0,0,0,0
060,0,1,0,0,0,0,1
061,0,0,0,0,0,0,0
063,0,1,0,0,0,0,1
064,0,1,0,0,0,0,1
065,0,1,0,0,0,0,1
066,0,0,0,1,0,0,1
067,0,0,0,1,0,0,1
068,0,0,0,0,0,0,0
069,1,0,0,0,0,1,0
070,0,0,0,0,0,0,0
071,0,0,0,0,0,0,0
072,1,0,0,0,0,1,0
073,1,0,0,0,0,1,0
074,1,0,0,0,0,1,0
075,1,0,0,0,0,1,0
076,1,0,0,0,0,1,0
077,1,0,0,0,0,1,0
078,1,0,0,0,0,0,1
079,1,0,0,0,0,0,1
080,1,0,0,0,0,0,1
081,0,0,0,0,0,0,0
082,0,0,0,0,0,0,0
083,1,0,0,0,0,0,1
084,1,0,0,0,0,0,1
085,0,0,0,0,0,0,0
086,1,0,0,0,0,0,1
087,1,0,0,0,0,0,1
088,1,0,0,0,0,0,1
090,1,0,0,0,0,0,1
