"","x","spp","year","season","season_year","lat","lon","response","swept","predtf","svspp","year_orig"
"1",1,"Yellowtail",1,"SPRING","SPRING_1985",40.65,-68.6,0.3,0.0384,FALSE,1,1985
"2",2,"Yellowtail",1,"SPRING","SPRING_1985",40.666667,-67.566667,0,0.0384,FALSE,1,1985
"3",3,"Yellowtail",1,"SPRING","SPRING_1985",40.633333,-68.716667,0,0.0384,FALSE,1,1985
"4",4,"Yellowtail",1,"SPRING","SPRING_1985",41.15,-67.4,1.3,0.0384,FALSE,1,1985
"5",5,"Yellowtail",1,"SPRING","SPRING_1985",41.066667,-67.6,1.5,0.0384,FALSE,1,1985
"6",6,"Yellowtail",1,"SPRING","SPRING_1985",40.733333,-67.616667,0,0.0384,FALSE,1,1985
"7",7,"Yellowtail",1,"SPRING","SPRING_1985",40.633333,-68.366667,1.2,0.0384,FALSE,1,1985
"8",8,"Yellowtail",1,"SPRING","SPRING_1985",40.583333,-67.95,0,0.0384,FALSE,1,1985
"9",9,"Yellowtail",1,"SPRING","SPRING_1985",40.866667,-67.2,0.5,0.0384,FALSE,1,1985
"10",10,"Yellowtail",1,"SPRING","SPRING_1985",40.35,-68,0,0.0384,FALSE,1,1985
"11",11,"Yellowtail",1,"SPRING","SPRING_1985",40.283333,-68.483333,0,0.0384,FALSE,1,1985
"12",12,"Yellowtail",1,"SPRING","SPRING_1985",40.5,-67.733333,0,0.0384,FALSE,1,1985
"13",13,"Yellowtail",1,"SPRING","SPRING_1985",40.6,-67.15,0,0.0384,FALSE,1,1985
"14",14,"Yellowtail",1,"SPRING","SPRING_1985",40.5,-67.383333,0,0.0384,FALSE,1,1985
"15",15,"Yellowtail",1,"SPRING","SPRING_1985",40.133333,-68.616667,0,0.0384,FALSE,1,1985
"16",16,"Yellowtail",1,"SPRING","SPRING_1985",40.333333,-67.816667,0,0.0384,FALSE,1,1985
"17",17,"Yellowtail",1,"SPRING","SPRING_1985",41.483333,-66.266667,0.1,0.0384,FALSE,1,1985
"18",18,"Yellowtail",1,"SPRING","SPRING_1985",41.3,-66.766667,2.6,0.0384,FALSE,1,1985
"19",19,"Yellowtail",1,"SPRING","SPRING_1985",41.816667,-66.166667,19.5,0.0384,FALSE,1,1985
"20",20,"Yellowtail",1,"SPRING","SPRING_1985",41.883333,-66.65,1,0.0384,FALSE,1,1985
"21",21,"Yellowtail",1,"SPRING","SPRING_1985",42.033333,-66.266667,0,0.0384,FALSE,1,1985
"22",22,"Yellowtail",1,"SPRING","SPRING_1985",41.566667,-66.916667,0.4,0.0384,FALSE,1,1985
"23",23,"Yellowtail",1,"SPRING","SPRING_1985",41.666667,-66.666667,0.7,0.0384,FALSE,1,1985
"24",24,"Yellowtail",1,"SPRING","SPRING_1985",41.616667,-66.033333,0,0.0384,FALSE,1,1985
"25",25,"Yellowtail",1,"SPRING","SPRING_1985",41.216667,-66.983333,1.2,0.0384,FALSE,1,1985
"26",26,"Yellowtail",1,"SPRING","SPRING_1985",42.05,-66.683333,0,0.0384,FALSE,1,1985
"27",27,"Yellowtail",1,"SPRING","SPRING_1985",41.966667,-65.916667,0,0.0384,FALSE,1,1985
"28",28,"Yellowtail",1,"SPRING","SPRING_1985",41.7,-65.85,0,0.0384,FALSE,1,1985
"29",29,"Yellowtail",1,"SPRING","SPRING_1985",41.133333,-66.45,0,0.0384,FALSE,1,1985
"30",30,"Yellowtail",1,"SPRING","SPRING_1985",41.5,-66.033333,0,0.0384,FALSE,1,1985
"31",31,"Yellowtail",1,"SPRING","SPRING_1985",40.933333,-66.533333,0,0.0384,FALSE,1,1985
"32",32,"Yellowtail",1,"SPRING","SPRING_1985",41.95,-65.75,0.2,0.0384,FALSE,1,1985
"33",33,"Yellowtail",1,"SPRING","SPRING_1985",41.666667,-67.416667,0,0.0384,FALSE,1,1985
"34",34,"Yellowtail",1,"SPRING","SPRING_1985",41.15,-67.65,0.3,0.0384,FALSE,1,1985
"35",35,"Yellowtail",1,"SPRING","SPRING_1985",40.833333,-68.65,1.5,0.0384,FALSE,1,1985
"36",36,"Yellowtail",1,"SPRING","SPRING_1985",41.35,-67.9,1.3,0.0384,FALSE,1,1985
"37",37,"Yellowtail",1,"SPRING","SPRING_1985",41.416667,-67.716667,0,0.0384,FALSE,1,1985
"38",38,"Yellowtail",1,"SPRING","SPRING_1985",41.316667,-67.3,0.5,0.0384,FALSE,1,1985
"39",39,"Yellowtail",1,"SPRING","SPRING_1985",41.633333,-67.466667,0.2,0.0384,FALSE,1,1985
"40",40,"Yellowtail",1,"SPRING","SPRING_1985",41.916667,-67.15,0,0.0384,FALSE,1,1985
"41",41,"Yellowtail",1,"SPRING","SPRING_1985",40.683333,-68.583333,1,0.0384,FALSE,1,1985
"42",42,"Yellowtail",1,"SPRING","SPRING_1985",41.5,-68.316667,0.5,0.0384,FALSE,1,1985
"43",43,"Yellowtail",1,"SPRING","SPRING_1985",41.65,-68.3,1.5,0.0384,FALSE,1,1985
"44",44,"Yellowtail",1,"SPRING","SPRING_1985",41.733333,-68.033333,0.3,0.0384,FALSE,1,1985
"45",45,"Yellowtail",1,"SPRING","SPRING_1985",41.25,-68.533333,0.4,0.0384,FALSE,1,1985
