"","spp","Year","Season","Season_Year","Lat","Lon","Response","Swept","PredTF"
"1","Yellowtail",1,"SPRING","SPRING_1985",40.65,-68.6,0.3,0.0384,FALSE
"2","Yellowtail",1,"SPRING","SPRING_1985",40.666667,-67.566667,0,0.0384,FALSE
"3","Yellowtail",1,"SPRING","SPRING_1985",40.633333,-68.716667,0,0.0384,FALSE
"4","Yellowtail",1,"SPRING","SPRING_1985",41.15,-67.4,1.3,0.0384,FALSE
"5","Yellowtail",1,"SPRING","SPRING_1985",41.066667,-67.6,1.5,0.0384,FALSE
"6","Yellowtail",1,"SPRING","SPRING_1985",40.733333,-67.616667,0,0.0384,FALSE
"7","Yellowtail",1,"SPRING","SPRING_1985",40.633333,-68.366667,1.2,0.0384,FALSE
"8","Yellowtail",1,"SPRING","SPRING_1985",40.583333,-67.95,0,0.0384,FALSE
"9","Yellowtail",1,"SPRING","SPRING_1985",40.866667,-67.2,0.5,0.0384,FALSE
"10","Yellowtail",1,"SPRING","SPRING_1985",40.35,-68,0,0.0384,FALSE
"11","Yellowtail",1,"SPRING","SPRING_1985",40.283333,-68.483333,0,0.0384,FALSE
"12","Yellowtail",1,"SPRING","SPRING_1985",40.5,-67.733333,0,0.0384,FALSE
"13","Yellowtail",1,"SPRING","SPRING_1985",40.6,-67.15,0,0.0384,FALSE
"14","Yellowtail",1,"SPRING","SPRING_1985",40.5,-67.383333,0,0.0384,FALSE
"15","Yellowtail",1,"SPRING","SPRING_1985",40.133333,-68.616667,0,0.0384,FALSE
"16","Yellowtail",1,"SPRING","SPRING_1985",40.333333,-67.816667,0,0.0384,FALSE
"17","Yellowtail",1,"SPRING","SPRING_1985",41.483333,-66.266667,0.1,0.0384,FALSE
"18","Yellowtail",1,"SPRING","SPRING_1985",41.3,-66.766667,2.6,0.0384,FALSE
"19","Yellowtail",1,"SPRING","SPRING_1985",41.816667,-66.166667,19.5,0.0384,FALSE
"20","Yellowtail",1,"SPRING","SPRING_1985",41.883333,-66.65,1,0.0384,FALSE
"21","Yellowtail",1,"SPRING","SPRING_1985",42.033333,-66.266667,0,0.0384,FALSE
"22","Yellowtail",1,"SPRING","SPRING_1985",41.566667,-66.916667,0.4,0.0384,FALSE
"23","Yellowtail",1,"SPRING","SPRING_1985",41.666667,-66.666667,0.7,0.0384,FALSE
"24","Yellowtail",1,"SPRING","SPRING_1985",41.616667,-66.033333,0,0.0384,FALSE
"25","Yellowtail",1,"SPRING","SPRING_1985",41.216667,-66.983333,1.2,0.0384,FALSE
"26","Yellowtail",1,"SPRING","SPRING_1985",42.05,-66.683333,0,0.0384,FALSE
"27","Yellowtail",1,"SPRING","SPRING_1985",41.966667,-65.916667,0,0.0384,FALSE
"28","Yellowtail",1,"SPRING","SPRING_1985",41.7,-65.85,0,0.0384,FALSE
"29","Yellowtail",1,"SPRING","SPRING_1985",41.133333,-66.45,0,0.0384,FALSE
"30","Yellowtail",1,"SPRING","SPRING_1985",41.5,-66.033333,0,0.0384,FALSE
"31","Yellowtail",1,"SPRING","SPRING_1985",40.933333,-66.533333,0,0.0384,FALSE
"32","Yellowtail",1,"SPRING","SPRING_1985",41.95,-65.75,0.2,0.0384,FALSE
"33","Yellowtail",1,"SPRING","SPRING_1985",41.666667,-67.416667,0,0.0384,FALSE
"34","Yellowtail",1,"SPRING","SPRING_1985",41.15,-67.65,0.3,0.0384,FALSE
"35","Yellowtail",1,"SPRING","SPRING_1985",40.833333,-68.65,1.5,0.0384,FALSE
"36","Yellowtail",1,"SPRING","SPRING_1985",41.35,-67.9,1.3,0.0384,FALSE
"37","Yellowtail",1,"SPRING","SPRING_1985",41.416667,-67.716667,0,0.0384,FALSE
"38","Yellowtail",1,"SPRING","SPRING_1985",41.316667,-67.3,0.5,0.0384,FALSE
"39","Yellowtail",1,"SPRING","SPRING_1985",41.633333,-67.466667,0.2,0.0384,FALSE
"40","Yellowtail",1,"SPRING","SPRING_1985",41.916667,-67.15,0,0.0384,FALSE
"41","Yellowtail",1,"SPRING","SPRING_1985",40.683333,-68.583333,1,0.0384,FALSE
"42","Yellowtail",1,"SPRING","SPRING_1985",41.5,-68.316667,0.5,0.0384,FALSE
"43","Yellowtail",1,"SPRING","SPRING_1985",41.65,-68.3,1.5,0.0384,FALSE
"44","Yellowtail",1,"SPRING","SPRING_1985",41.733333,-68.033333,0.3,0.0384,FALSE
"45","Yellowtail",1,"SPRING","SPRING_1985",41.25,-68.533333,0.4,0.0384,FALSE
"46","Yellowtail",1,"SPRING","SPRING_1985",41.916667,-67.6,0,0.0384,FALSE
"47","Yellowtail",1,"SPRING","SPRING_1985",41.733333,-67.833333,0,0.0384,FALSE
"48","Yellowtail",1,"SPRING","SPRING_1985",42.083333,-66.733333,0,0.0384,FALSE
"49","Yellowtail",1,"SPRING","SPRING_1985",42.116667,-66.166667,0,0.0384,FALSE
"50","Yellowtail",1,"SPRING","SPRING_1985",41.816667,-68.183333,0,0.0384,FALSE
"51","Yellowtail",4,"SPRING","SPRING_1986",40.933333,-68.85,2.5,0.0384,FALSE
"52","Yellowtail",4,"SPRING","SPRING_1986",40.866667,-68.05,0.7,0.0384,FALSE
"53","Yellowtail",4,"SPRING","SPRING_1986",40.983333,-67.5,0.3,0.0384,FALSE
"54","Yellowtail",4,"SPRING","SPRING_1986",40.666667,-68.416667,1,0.0384,FALSE
"55","Yellowtail",4,"SPRING","SPRING_1986",40.716667,-67.533333,0,0.0384,FALSE
"56","Yellowtail",4,"SPRING","SPRING_1986",40.966667,-67.616667,0.2,0.0384,FALSE
"57","Yellowtail",4,"SPRING","SPRING_1986",40.783333,-66.866667,0,0.0384,FALSE
"58","Yellowtail",4,"SPRING","SPRING_1986",40.816667,-68.816667,1.7,0.0384,FALSE
"59","Yellowtail",4,"SPRING","SPRING_1986",40.4,-68.233333,0,0.0384,FALSE
"60","Yellowtail",4,"SPRING","SPRING_1986",40.283333,-68.416667,0,0.0384,FALSE
"61","Yellowtail",4,"SPRING","SPRING_1986",40.366667,-67.983333,0,0.0384,FALSE
"62","Yellowtail",4,"SPRING","SPRING_1986",40.133333,-68.7,0,0.0384,FALSE
"63","Yellowtail",4,"SPRING","SPRING_1986",40.35,-67.9,0,0.0384,FALSE
"64","Yellowtail",4,"SPRING","SPRING_1986",40.5,-67.133333,0,0.0384,FALSE
"65","Yellowtail",4,"SPRING","SPRING_1986",40.166667,-68.35,0,0.0384,FALSE
"66","Yellowtail",4,"SPRING","SPRING_1986",41.866667,-66.033333,9,0.0384,FALSE
"67","Yellowtail",4,"SPRING","SPRING_1986",41.35,-66.9,2.4,0.0384,FALSE
"68","Yellowtail",4,"SPRING","SPRING_1986",41.683333,-66.633333,5.7,0.0384,FALSE
"69","Yellowtail",4,"SPRING","SPRING_1986",41.233333,-67.2,0,0.0384,FALSE
"70","Yellowtail",4,"SPRING","SPRING_1986",40.95,-66.6,0,0.0384,FALSE
"71","Yellowtail",4,"SPRING","SPRING_1986",40.95,-66.966667,0,0.0384,FALSE
"72","Yellowtail",4,"SPRING","SPRING_1986",41.516667,-66.216667,2.2,0.0384,FALSE
"73","Yellowtail",4,"SPRING","SPRING_1986",42.016667,-67,0,0.0384,FALSE
"74","Yellowtail",4,"SPRING","SPRING_1986",41.2,-66.516667,0,0.0384,FALSE
"75","Yellowtail",4,"SPRING","SPRING_1986",41.733333,-66.516667,1.9,0.0384,FALSE
"76","Yellowtail",4,"SPRING","SPRING_1986",41.066667,-66.466667,0,0.0384,FALSE
"77","Yellowtail",4,"SPRING","SPRING_1986",41.783333,-65.733333,0,0.0384,FALSE
"78","Yellowtail",4,"SPRING","SPRING_1986",41.8,-65.85,0,0.0384,FALSE
"79","Yellowtail",4,"SPRING","SPRING_1986",41.383333,-66.1,0,0.0384,FALSE
"80","Yellowtail",4,"SPRING","SPRING_1986",41.033333,-66.4,0,0.0384,FALSE
"81","Yellowtail",4,"SPRING","SPRING_1986",41.883333,-65.75,0,0.0384,FALSE
"82","Yellowtail",4,"SPRING","SPRING_1986",41.4,-65.966667,0,0.0384,FALSE
"83","Yellowtail",4,"SPRING","SPRING_1986",41.616667,-67.45,0,0.0384,FALSE
"84","Yellowtail",4,"SPRING","SPRING_1986",40.716667,-68.5,0.9,0.0384,FALSE
"85","Yellowtail",4,"SPRING","SPRING_1986",41.433333,-67.766667,0,0.0384,FALSE
"86","Yellowtail",4,"SPRING","SPRING_1986",40.95,-68.083333,0.5,0.0384,FALSE
"87","Yellowtail",4,"SPRING","SPRING_1986",40.866667,-68.3,0.4,0.0384,FALSE
"88","Yellowtail",4,"SPRING","SPRING_1986",41.433333,-67.666667,0,0.0384,FALSE
"89","Yellowtail",4,"SPRING","SPRING_1986",41.566667,-67.383333,0,0.0384,FALSE
"90","Yellowtail",4,"SPRING","SPRING_1986",41.75,-67.083333,0.2,0.0384,FALSE
"91","Yellowtail",4,"SPRING","SPRING_1986",40.983333,-67.8,0.6,0.0384,FALSE
"92","Yellowtail",4,"SPRING","SPRING_1986",42.016667,-67.4,0,0.0384,FALSE
"93","Yellowtail",4,"SPRING","SPRING_1986",41.383333,-68.116667,0,0.0384,FALSE
"94","Yellowtail",4,"SPRING","SPRING_1986",41.25,-68.416667,0,0.0384,FALSE
"95","Yellowtail",4,"SPRING","SPRING_1986",41.616667,-68,0,0.0384,FALSE
"96","Yellowtail",4,"SPRING","SPRING_1986",41.466667,-68.05,0,0.0384,FALSE
"97","Yellowtail",4,"SPRING","SPRING_1986",41.8,-67.816667,0,0.0384,FALSE
"98","Yellowtail",4,"SPRING","SPRING_1986",42.066667,-66.816667,1.9,0.0384,FALSE
"99","Yellowtail",4,"SPRING","SPRING_1986",42.1,-66.4,0,0.0384,FALSE
"100","Yellowtail",4,"SPRING","SPRING_1986",42.05,-67.633333,0.6,0.0384,FALSE
"101","Yellowtail",4,"SPRING","SPRING_1986",42.1,-67.383333,0.2,0.0384,FALSE
"102","Yellowtail",7,"SPRING","SPRING_1987",40.55,-68.416667,0,0.0384,FALSE
"103","Yellowtail",7,"SPRING","SPRING_1987",40.616667,-67.916667,0,0.0384,FALSE
"104","Yellowtail",7,"SPRING","SPRING_1987",40.966667,-68.7,1.4,0.0384,FALSE
"105","Yellowtail",7,"SPRING","SPRING_1987",40.716667,-68.35,0,0.0384,FALSE
"106","Yellowtail",7,"SPRING","SPRING_1987",40.95,-67.433333,0,0.0384,FALSE
"107","Yellowtail",7,"SPRING","SPRING_1987",40.533333,-68,0,0.0384,FALSE
"108","Yellowtail",7,"SPRING","SPRING_1987",40.9,-67.133333,0,0.0384,FALSE
"109","Yellowtail",7,"SPRING","SPRING_1987",40.65,-67.583333,0,0.0384,FALSE
